Receta,Score,Quantity Score,Dificultad,Tiempo Preparación,Tiempo Total,Cantidades,Ingredientes,Nutrición
Conejo a la mostaza,4.2,114 valoraciones,fácil,10min,50min,4 raciones,"['100 g de cebolla en trozos', '4 ramitas de perejil fresco (solo las hojas)', '80 g de aceite de oliva', '1 conejo en trozos (aprox. 1000 g) salpimentado', '70 g de zanahoria en dados', '70 g de apio en rodajas', '260 g de vino blanco\no bien 260 g de vino de Jerez Cream', '4 cucharaditas de mostaza de Dijon']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '425 kcal / 1775 kJ'), ('Proteína', '31.6 g'), ('Grasa', '31.2 g'), ('Carbohidratos', '4.4 g'), ('Fibra', '2 g')]"
Ensalada de calabacín y mango,4.4,225 valoraciones,fácil,5min,5min,4 raciones,"['1 - 2 calabacines pequeños con piel (en bastones de 8 x 0,5 cm)', '½ mango maduro en trozos', '2 chalotas', '50 g de aceite de oliva virgen extra', '3 - 4 ramitas de cilantro fresco', '20 g de zumo de lima', '1 pellizco de sal', '1 pellizco de pimienta negra molida', '1 cucharada de pipas de calabaza para espolvorear']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '144 kcal / 603 kJ'), ('Proteína', '2.35 g'), ('Grasa', '11.45 g'), ('Carbohidratos', '7.75 g'), ('Fibra', '2 g')]"
Chuletitas de cordero con picada de avellanas y nueces,4.2,20 valoraciones,fácil,20min,30min,4 raciones,"['1 ramita de perejil fresco (solo las hojas)', '100 g de cebolla en trozos', '2 dientes de ajo', '50 g de aceite de oliva', '45 g de nueces peladas', '45 g de avellanas', '2 - 3 rebanadas de pan frito', '50 g de vino blanco', '200 g de caldo de carne', '800 g de chuletas de cordero', '1 cucharadita de sal', '2 cucharadas de aceite de oliva virgen extra']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '562 kcal / 2349 kJ'), ('Proteína', '26.5 g'), ('Grasa', '44.5 g'), ('Carbohidratos', '13.8 g'), ('Fibra', '2.8 g')]"
Sandwich de verduras,4.6,42 valoraciones,fácil,5min,30min,4 porciones,"['1 pimiento desvenado y en trozos', '100 g de zanahoria en trozos', '210 g de calabacita (aprox 1 pza)', '50 g de espinaca baby fresca', '10 g de aceite vegetal', '¼ cdita de sal fina o al gusto', '1 pizca de pimienta negra recién molida o al gusto', '¼ cdita de pimienta de cayena molida', '8 rebanadas de pan de caja integral', '4 cdas de mostaza Dijon', '1 aguacate maduro']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '440 kcal / 1848 kJ'), ('Proteína', '17.2 g'), ('Grasa', '13.8 g'), ('Carbohidratos', '76 g'), ('Fibra', '11.2 g')]"
Chía pudding de matcha,4.7,17 valoraciones,fácil,5min,30min,4 porciones,"['400 g de leche', '1 plátano', '80 g de chía', '1 ½ cditas de matcha', 'almendra fileteada para servir', 'plátano rebanado para servir', 'cacao nibs para servir']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '223.8 kcal / 939.8 kJ'), ('Proteína', '11.2 g'), ('Grasa', '13.5 g'), ('Carbohidratos', '17 g'), ('Fibra', '2 g')]"
Vegetales con tofu,4.3,3 valoraciones,fácil,30min,45min,4 porción,"['100 g de col china encurtida en juliana', '20 g de aceite vegetal', '50 g de zanahoria en tiras (5 cm x 1 cm x 0.5 cm)', '100 g de hongo orejón, fresco en tiras (5 cm x 1 cm x 0.5 cm)\no bien 100 g de hongo orejón seco, hidratado', '100 g de germen de soya fresco', '50 g de hongos shiitake frescos en rebanadas', '100 g de tofu seco en tiras (5 cm x 1 cm x 0.5 cm)', '50 g de agua', '50 g de apio en trozos (3 cm)', '30 g de pimiento rojo en trozos', '150 g de tofu extra firme en tiras (5 cm x 1 cm x 0.5 cm)', '10 g de salsa de ostión', '1 cdita de pimienta blanca molida', '¼ cdita de sal fina al gusto']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '159 kcal / 666 kJ'), ('Proteína', '13 g'), ('Grasa', '9 g'), ('Carbohidratos', '11 g'), ('Fibra', '6 g')]"
Tacos de lechuga,4.2,19 valoraciones,fácil,30min,1h,4 porciones,"['30 g de sake vino de arroz', '30 g de mirin', '1 cdita de azúcar', '5 g de vinagre de arroz', '45 g de salsa de soya', '20 g de salsa de ostión', '15 g de pasta miso', '85 g de manzana tipo Golden, pelada y en trozos', '2 cditas de ajonjolí tostado y un poco más para decorar', '165 g de jícama pelada y en trozos', '115 g de zanahoria pelada y en trozos', '5 g de jengibre pelado', '3 dientes de ajo pelados', '50 g de rabos de cebolla de cambray en rodajas y un poco más para decorar', '30 g de aceite de ajonjolí', '500 g de pechuga de pollo deshuesada y sin piel cortada en cubos', '100 g cacahuates tostados salados', '1 de lechuga francesa deshojada']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '312 kcal / 1310 kJ'), ('Proteína', '26 g'), ('Grasa', '15 g'), ('Carbohidratos', '16 g'), ('Fibra', '2 g')]"
Portobellos rellenos,4.4,34 valoraciones,fácil,10min,35min,4 porciones,"['150 g de queso Gouda en trozos', '50 g de cebolla en trozos', '1 diente de ajo pelado', '220 g espárragos verdes en trozos', '20 g de aceite de oliva y un poco más para rociar', '60 g de queso crema', '100 g de queso de cabra', '½ cucharadita de sal fina', '¼ cucharadita de pimienta molida', '4 piezas de hongos portobello, frescos grandes']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '428 kcal / 1798 kJ'), ('Proteína', '22 g'), ('Grasa', '35 g'), ('Carbohidratos', '9 g'), ('Fibra', '2 g')]"
Pollo a la cazadora,4.6,39 valoraciones,fácil,10min,40min,4 porciones,"['5 - 6 ramitas de perejil fresco limpias y secas (hojas y parte del tallo)', '150 g de cebolla en trozos', '100 g de zanahorias en trozos', '2 ramas de apio (aprox. 100 g) en trozos', '40 g de aceite de oliva extra virgen', '4 piernas de pollo con piel (aprox. 800 g)', '50 g de vino tinto', '1 ramita de romero fresco', '400 g de jitomate triturado, enlatado', '2 cucharaditas de sal', '1 pizca de pimienta recién molida']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '351 kcal / 1467 kJ'), ('Proteína', '34.5 g'), ('Grasa', '20.3 g'), ('Carbohidratos', '8 g'), ('Fibra', '3.9 g')]"
Ossobuco a la milanesa,3.9,9 valoraciones,fácil,20min,1h 10min,4 porciones,"['2 piezas de cáscara de limón amarillo sin la parte blanca', '1 diente de ajo', '10 ramitas de perejil fresco solo las hojas', '1 pizca de romero seco u otras hierbas aromáticas', '½ cucharadita de sal', '4 pizcas de pimienta negra recién molida', '4 piezas de chambarete de res en rebanadas, cortadas con el hueso (700 g)', '½ cucharadita de sal', '1 pizca de pimienta negra recién molida', '1 cucharada de harina para rebozar', '1 - 2 echalot (30 g)', '40 g de aceite de oliva extra virgen', '10 g de mantequilla', '100 g de vino blanco seco', '100 g de agua']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '324 kcal / 1353 kJ'), ('Proteína', '29.2 g'), ('Grasa', '23.6 g'), ('Carbohidratos', '4.4 g'), ('Fibra', '0.3 g')]"
Pasta con verduras verdes,4.6,152 valoraciones,fácil,40min,45min,4 porciones,"['25 g de queso parmesano en trozos', '500 g de agua', '110 g de brócoli', '200 g de espárragos verdes', '160 g de chícharos congelados', '300 g de calabacita en rebanadas', '1 cucharadita de sal', '1 cucharadita de aceite de oliva', '250 g de espagueti o tallarines', '1 cubo de caldo de verdura (para 0,5L)', '30 g de mantequilla', '100 g de crema', 'pimienta negra molida al gusto', 'nuez moscada en polvo al gusto', '10 g de hojas de perejil fresco picado']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '436 kcal / 1831 kJ'), ('Proteína', '17 g'), ('Grasa', '18 g'), ('Carbohidratos', '52 g')]"
Salmón balsámico y fideos de calabacita,4.6,70 valoraciones,fácil,10min,25min,4 porciones,"['70 g de vinagre balsámico', '80 g de vino blanco', '80 g de miel', '20 g de mostaza Dijon', '1 cucharada de romero sólo las hojas', '1 diente de ajo', '4 de filetes de salmón, fresco (150 g c/u)\no bien 4 filetes de salmón congelados descongelado (150 g c/u)', '½ cucharadita de sal', '1 pizca de pimienta recién molida', '500 g de calabacita', '1 cucharada de aceite de oliva', '1 cucharada de jugo de limón, recién exprimido']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '439 kcal / 1837 kJ'), ('Proteína', '33 g'), ('Grasa', '22 g'), ('Carbohidratos', '22 g'), ('Fibra', '1.7 g')]"
Licuado verde,4.9,17 valoraciones,fácil,5min,10min,4 porciones,"['300 g de piña fresca en trozos', '1 naranja pelada y sin semillas', '100 g de apio en trozos', '30 g hojas de perejil fresco', '70 g de nopales en trozos', '500 g de agua', '100 g de hielos']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '54 kcal / 227 kJ'), ('Proteína', '1 g'), ('Grasa', '0.5 g'), ('Carbohidratos', '14 g'), ('Fibra', '2 g')]"
Estofado de pollo con frijol y camote,4.3,22 valoraciones,fácil,10min,45min,4 porciones,"['5 g de cilantro', '2 dientes de ajo', '30 g de aceite de oliva', '200 g de pimiento verde, en trozos', '150 g de cebolla, en trozos', '100 g de cacahuate pelado', '400 g de jitomate triturado', '400 g de camote, en cubos (3 cm)', '1 cucharadita colmada de concentrado de caldo de pollo', '150 g de agua', '650 g de pechuga de pollo deshuesada y sin piel, en cubos (4 cm)', '240 g de frijoles bayos enlatados, escurridos']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '2633 kJ / 628 kcal'), ('Proteína', '55 g'), ('Carbohidratos', '42 g'), ('Grasa', '23 g'), ('Fibra', '13.3 g')]"
Chileatole,4.2,9 valoraciones,fácil,5min,55min,4 porción,"['900 g de agua', '320 g de granos de elote fresco', '2 chiles poblanos sin semillas, ni venas y en trozos', '10 g epazote', '2 ¼ cdita de sal', '50 g de harina de maíz']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '207 kcal / 869 kJ'), ('Proteína', '6 g'), ('Grasa', '1 g'), ('Carbohidratos', '6 g'), ('Fibra', '8 g')]"
Lassi de coco,5.0,3 valoraciones,fácil,5min,5min,4 vasos,"['250 g de leche de coco', '400 g de yogur, 1.8% de grasa', '1 plátano (aprox. 100 g)', '100 g de crema para batir (min 30% de grasa) (opcional)', '2 cucharadas de hojuelas de coco, tostadas']","[('Inf. nutricional', 'por 1 vaso'), ('Calorías', '1246 kJ / 298 kcal'), ('Proteína', '6 g'), ('Carbohidratos', '12 g'), ('Grasa', '24 g'), ('Fibra', '1.4 g')]"
Lassie de durazno y canela,4.6,7 valoraciones,fácil,5min,10min,4 porción,"['400 g de duraznos maduros', '200 g de yogur natural', '2 cubitos de hielo', '¼ cdita de jengibre en polvo', '½ cdita de canela en polvo', '5 g de jengibre', '1 cdita de azúcar', '2 cda de miel de abeja']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '66 kcal / 277 kJ'), ('Proteína', '2 g'), ('Grasa', '1 g'), ('Carbohidratos', '13 g'), ('Fibra', '2 g')]"
Cuscús de pollo marinado y mango,4.4,182 valoraciones,fácil,20min,30min,4 raciones,"['60 g de mermelada de fresa', '2 - 3 cucharadas de mostaza de grano entero (a la antigua)', '40 g de zumo de limón', '1 cucharada de extracto de buey (por ej. Bovril®)', '20 g de salsa de soja', '500 - 600 g de pechugas de pollo sin piel cortadas en 6-8 lonchas c/u', '250 g de cuscús precocido', '500 g de agua', '20 g de mantequilla', '1 cucharadita de sal', '20 g de azúcar moreno', '20 g de mantequilla', '1 mango maduro cortado en trozos grandes', '1 cucharada de comino molido', '3 cucharadas de vinagre', '200 g de cebolleta (la parte blanca en rodajas)', '20 g de mantequilla']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '516 kcal / 2157 kJ'), ('Proteína', '35.3 g'), ('Grasa', '13.2 g'), ('Carbohidratos', '63.8 g'), ('Fibra', '4 g')]"
Habas tiernas rehogadas,4.1,45 valoraciones,fácil,10min,30min,4 raciones,"['200 g de cebolla en cuartos', '70 g de aceite de oliva virgen extra', '1 cucharadita de pimentón dulce', '500 g de habas frescas con vaina (sin hebras y en trozos de 6 cm)', '200 g de agua', '½ cucharadita de sal', '1 cucharada de vinagre']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '215 kcal / 900 kJ'), ('Proteína', '4.8 g'), ('Grasa', '17.9 g'), ('Carbohidratos', '6.2 g'), ('Fibra', '4.9 g')]"
Pasta con salchichas en olla,4.7,6 valoraciones,fácil,15min,30min,4 porciones,"['100 g de queso parmesano cortado en trozos', '100 g de espinaca baby fresca\no bien 100 g de hoja de espinaca fresca cortada en trozos grandes', '50 g de cebolla en trozos', '2 dientes de ajo', '200 g de salchicha tipo italiana o italiana\no bien 200 g de salchichas picantes', '1 cdita hojuelas de chile seco (opcional)', '½ cditas sal', '800 g de agua', '½ cda caldo en pasta', '280 g de pasta corta seca', '100 g de crema para batir (30-40% grasa)']","[('Inf. nutricional', 'por 4 porciones'), ('Calorías', '2301.9 kcal / 9631.3 kJ'), ('Proteína', '113.7 g'), ('Grasa', '101.5 g'), ('Carbohidratos', '228.7 g'), ('Fibra', '12.1 g'), ('Grasas saturadas', '47.3 g'), ('Sodio', '4221.3 mg')]"
Boloñesa de avellanas,4.6,8 valoraciones,fácil,5min,35min,4 porciones,"['40 g de queso parmesano en trozos (3 cm)', '150 g de avellanas', '3 cdas de hierbas de Provenza secas', '2 dientes de ajo pelados', '150 g de poro en trozos (3 cm)', '50 g de aceite de oliva', '800 g de jitomate en cubos pequeños', '1 cda de puré de jitomate', '15 g de hojas de albahaca fresca', '2 pizcas de azúcar', '2 pizcas de pimienta negra molida', '1 cda de concentrado de caldo de verduras en polvo', '100 g de agua', 'hojas de albahaca frescas para decorar']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '455.1 kcal / 1904.1 kJ'), ('Proteína', '11.6 g'), ('Grasa', '38.6 g'), ('Carbohidratos', '22.2 g'), ('Fibra', '8.1 g'), ('Grasas saturadas', '5.2 g'), ('Sodio', '183.2 mg')]"
Bowl de arrachera con chile verde TM6,4.9,33 valoraciones,fácil,45min,1h,4 porciones,"['480 g de arrachera', '1 cda de aceite de oliva extra virgen', 'sal para sazonar al gusto', 'pimienta negra molida para sazonar al gusto', '120 g de cebolla morada en rebanadas finas', '60 g de pimiento amarillo en rebanadas finas', '1 chile jalapeño sin semillas, en rebanadas finas', '5 g de hojas de cilantro, frescas picadas', '100 g de jugo de limón verde', '¼ cdita de sal o al gusto', '¼ cdita de pimienta negra molida o al gusto', '30 g de queso parmesano', '1 diente de ajo pelado', '5 g de hojas de cilantro, frescas', '120 g de mayonesa', '1 chile jalapeño sin tallo y sin semillas', '30 g de aceite vegetal', '15 g de jugo de limón verde', '¼ cdita de sal o al gusto', '1000 g de agua', '½ cdita de sal', '240 g de quinoa en grano', '300 g de papas cambray en mitades', '4 huevos grandes enteros', '2 cditas de aceite de oliva extra virgen', 'sal para sazonar', 'pimienta negra molida para sazonar', '240 g de ensalada mixta']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '857 kcal / 3586 kJ'), ('Proteína', '46 g'), ('Grasa', '47 g'), ('Carbohidratos', '63 g'), ('Fibra', '9 g'), ('Grasas saturadas', '10 g'), ('Sodio', '900 mg')]"
Frascos de desayuno multicolor,4.9,9 valoraciones,fácil,5min,10min,4 porciones,"['1 plátano en trozos', '20 g de miel', '500 g de yogur griego (ver tip)', '80 g de semillas de granada', '20 g de semillas de chía', '10 g de jugo de limón amarillo, recién exprimido', '100 g de kiwi pelado, en rebanadas', '100 g de manzana (cualquier tipo) pelada, en rebanadas', '10 g de linaza']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '232.8 kcal / 973.8 kJ'), ('Proteína', '11.5 g'), ('Grasa', '9.8 g'), ('Carbohidratos', '28.8 g'), ('Fibra', '5.3 g'), ('Grasas saturadas', '4.5 g'), ('Sodio', '62 mg')]"
Plátanos asados con queso y mojo verde,4.8,13 valoraciones,fácil,10min,45min,4 raciones,"['6 plátanos', '100 g de queso palmero cortado en 6 tiras\no bien 100 g de queso Idiazábal cortado en 6 tiras', '50 g de mantequilla en trozos', '500 g de agua', '50 g de azúcar glas', '1 diente de ajo', '10 - 15 ramitas de cilantro fresco (solo las hojas)', '½ cucharadita de sal', '75 g de aceite de oliva virgen extra', '2 cucharadas de vinagre']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '491 kcal / 2051 kJ'), ('Proteína', '4.4 g'), ('Grasa', '33.9 g'), ('Carbohidratos', '41.7 g'), ('Fibra', '3.1 g')]"
Ensalada de pera y tocino con aderezo de mostaza,4.4,39 valoraciones,fácil,10min,20min,4 porciones,"['50 g de nueces', '40 g de aceite de oliva extra virgen', '50 g de mostaza Dijon', '20 g de vinagre de manzana', '1 - 2 pizca de sal o al gusto', '1 - 2 pizca de pimienta negra molida o al gusto', '500 g de agua', '500 g de peras en octavos y sin semillas', '100 g de tocino en cubos (1 cm)', '300 g de ensalada mixta']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '430 kcal / 1803 kJ'), ('Proteína', '7 g'), ('Grasa', '35 g'), ('Carbohidratos', '18 g'), ('Fibra', '6.3 g'), ('Grasas saturadas', '9 g'), ('Sodio', '702 mg')]"
Lassi de hierbabuena y cardamomo,4.6,13 valoraciones,fácil,5min,10min,4 porciones,"['500 g de yogur griego sin azúcar', '300 g de leche', '200 g de agua', '4 - 6 cdas de azúcar', '½ cdita de cardamomo en polvo', '10 g de hojas de hierbabuena fresca y un poco más para decorar', 'hielos los necesarios']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '257 kcal / 1078 kJ'), ('Proteína', '24 g'), ('Grasa', '4 g'), ('Carbohidratos', '34 g'), ('Fibra', '0 g'), ('Grasas saturadas', '2 g'), ('Sodio', '38 mg')]"
Pasta con albóndigas de carne,4.3,18 valoraciones,fácil,30min,1h 30min,4 porciones,"['100 g de queso parmesano en cubos, frío', '30 g de cebolla', '1 diente de ajo sin cáscara', '5 g de perejil fresco sólo las hojas', '400 g de rib-eye en trozos (2 cm), semi congelados', '2 cdas de pan molido', '1 yema de huevo', '1 cdita de sal kosher o al gusto', '1 pizca de pimienta negra molida o al gusto', '30 g de aceite de oliva', '5 dientes de ajo sin cáscara', '1000 g de puré de jitomate frito', '10 hojas de albahaca frescas', '100 g de vino tinto', '1 cda de paprika', '1 cdita de sal kosher o al gusto', '1500 g de agua', '2 cdas de sal gruesa o al gusto', '500 g de pasta seca tipo fettuccine', 'hojas de albahaca frescas para decorar']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '989 kcal / 4154 kJ'), ('Proteína', '46 g'), ('Grasa', '35 g'), ('Carbohidratos', '120 g'), ('Fibra', '7 g'), ('Grasas saturadas', '11 g'), ('Sodio', '3843 mg')]"
Alcachofas de Tudela con vinagreta al aroma de cítricos (Navarra),4.6,39 valoraciones,fácil,10min,12h 30min,4 raciones,"['6 - 8 tiras de piel de limón (solo la parte amarilla)', '1 limón pelado (sin nada de parte blanca)', '8 - 10 tiras de piel de naranja (solo la parte naranja)', '½ naranja pelada (sin nada de parte blanca)', '½ hoja de laurel seca', '1 pellizco de azafrán', '300 g de vinagre', '3 - 4 tiras de piel de limón (solo la parte amarilla)', '4 - 5 tiras de piel de naranja (solo la parte naranja)', '½ limón pelado (sin nada de parte blanca)', '½ naranja pelada (sin nada de parte blanca)', '100 g de aceite de oliva virgen extra', '50 g de pimiento verde', '50 g de pimiento rojo', '50 g de cebolla', '1 yema de huevo cocida', '½ cucharadita de sal', '500 g de agua', '8 alcachofas frescas blancas de Tudela (limpias y cortadas por la mitad)', '1 cucharadita de sal']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '184 kcal / 768 kJ'), ('Proteína', '3.4 g'), ('Grasa', '16.9 g'), ('Carbohidratos', '3.6 g'), ('Fibra', '7.7 g')]"
